kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,akreditasi_sekolah,jumlah_ma,satuan,tahun
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,LEMAHABANG,32.09.07,LEMAHABANG,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,LEMAHABANG,32.09.07,LEMAHABANG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209060,LEMAHABANG,32.09.07,LEMAHABANG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,SUSUKANLEBAK,32.09.08,SUSUKAN LEBAK,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,SUSUKANLEBAK,32.09.08,SUSUKAN LEBAK,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,SUSUKANLEBAK,32.09.08,SUSUKAN LEBAK,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209061,SUSUKANLEBAK,32.09.08,SUSUKAN LEBAK,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,SEDONG,32.09.09,SEDONG,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,SEDONG,32.09.09,SEDONG,B,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,SEDONG,32.09.09,SEDONG,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209070,SEDONG,32.09.09,SEDONG,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,ASTANAJAPURA,32.09.10,ASTANAJAPURA,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,ASTANAJAPURA,32.09.10,ASTANAJAPURA,B,2,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,ASTANAJAPURA,32.09.10,ASTANAJAPURA,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209080,ASTANAJAPURA,32.09.10,ASTANAJAPURA,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,PANGENAN,32.09.11,PANGENAN,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,PANGENAN,32.09.11,PANGENAN,B,6,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,PANGENAN,32.09.11,PANGENAN,C,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209081,PANGENAN,32.09.11,PANGENAN,BELUM,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,A,0,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,B,1,UNIT,2021
32,JAWA BARAT,3209,KABUPATEN CIREBON,3209090,MUNDU,32.09.12,MUNDU,C,0,UNIT,2021
